,input,output
0,dataset/0.png,dataset/0_mask.png
1,dataset/1.png,dataset/1_mask.png
2,dataset/10.png,dataset/10_mask.png
3,dataset/100.png,dataset/100_mask.png
4,dataset/1000.png,dataset/1000_mask.png
5,dataset/1001.png,dataset/1001_mask.png
6,dataset/1002.png,dataset/1002_mask.png
7,dataset/1003.png,dataset/1003_mask.png
8,dataset/1004.png,dataset/1004_mask.png
9,dataset/1005.png,dataset/1005_mask.png
10,dataset/1006.png,dataset/1006_mask.png
11,dataset/1007.png,dataset/1007_mask.png
12,dataset/1008.png,dataset/1008_mask.png
13,dataset/1009.png,dataset/1009_mask.png
14,dataset/101.png,dataset/101_mask.png
15,dataset/1010.png,dataset/1010_mask.png
16,dataset/1011.png,dataset/1011_mask.png
17,dataset/1012.png,dataset/1012_mask.png
18,dataset/1013.png,dataset/1013_mask.png
19,dataset/1014.png,dataset/1014_mask.png
20,dataset/1015.png,dataset/1015_mask.png
21,dataset/1016.png,dataset/1016_mask.png
22,dataset/1017.png,dataset/1017_mask.png
23,dataset/1018.png,dataset/1018_mask.png
24,dataset/1019.png,dataset/1019_mask.png
25,dataset/102.png,dataset/102_mask.png
26,dataset/1020.png,dataset/1020_mask.png
27,dataset/1021.png,dataset/1021_mask.png
28,dataset/1022.png,dataset/1022_mask.png
29,dataset/1023.png,dataset/1023_mask.png
30,dataset/1024.png,dataset/1024_mask.png
31,dataset/1025.png,dataset/1025_mask.png
32,dataset/1026.png,dataset/1026_mask.png
33,dataset/1027.png,dataset/1027_mask.png
34,dataset/1028.png,dataset/1028_mask.png
35,dataset/1029.png,dataset/1029_mask.png
36,dataset/103.png,dataset/103_mask.png
37,dataset/1030.png,dataset/1030_mask.png
38,dataset/1031.png,dataset/1031_mask.png
39,dataset/1032.png,dataset/1032_mask.png
40,dataset/1033.png,dataset/1033_mask.png
41,dataset/1034.png,dataset/1034_mask.png
42,dataset/1035.png,dataset/1035_mask.png
43,dataset/1036.png,dataset/1036_mask.png
44,dataset/1037.png,dataset/1037_mask.png
45,dataset/1038.png,dataset/1038_mask.png
46,dataset/1039.png,dataset/1039_mask.png
47,dataset/104.png,dataset/104_mask.png
48,dataset/1040.png,dataset/1040_mask.png
49,dataset/1041.png,dataset/1041_mask.png
50,dataset/1042.png,dataset/1042_mask.png
51,dataset/1043.png,dataset/1043_mask.png
52,dataset/1044.png,dataset/1044_mask.png
53,dataset/1045.png,dataset/1045_mask.png
54,dataset/1046.png,dataset/1046_mask.png
55,dataset/1047.png,dataset/1047_mask.png
56,dataset/1048.png,dataset/1048_mask.png
57,dataset/1049.png,dataset/1049_mask.png
58,dataset/105.png,dataset/105_mask.png
59,dataset/1050.png,dataset/1050_mask.png
60,dataset/1051.png,dataset/1051_mask.png
61,dataset/1052.png,dataset/1052_mask.png
62,dataset/1053.png,dataset/1053_mask.png
63,dataset/1054.png,dataset/1054_mask.png
64,dataset/1055.png,dataset/1055_mask.png
65,dataset/1056.png,dataset/1056_mask.png
66,dataset/1057.png,dataset/1057_mask.png
67,dataset/1058.png,dataset/1058_mask.png
68,dataset/1059.png,dataset/1059_mask.png
69,dataset/106.png,dataset/106_mask.png
70,dataset/1060.png,dataset/1060_mask.png
71,dataset/1061.png,dataset/1061_mask.png
72,dataset/1062.png,dataset/1062_mask.png
73,dataset/1063.png,dataset/1063_mask.png
74,dataset/1064.png,dataset/1064_mask.png
75,dataset/1065.png,dataset/1065_mask.png
76,dataset/1066.png,dataset/1066_mask.png
77,dataset/1067.png,dataset/1067_mask.png
78,dataset/1068.png,dataset/1068_mask.png
79,dataset/1069.png,dataset/1069_mask.png
80,dataset/107.png,dataset/107_mask.png
81,dataset/1070.png,dataset/1070_mask.png
82,dataset/1071.png,dataset/1071_mask.png
83,dataset/1072.png,dataset/1072_mask.png
84,dataset/1073.png,dataset/1073_mask.png
85,dataset/1074.png,dataset/1074_mask.png
86,dataset/1075.png,dataset/1075_mask.png
87,dataset/1076.png,dataset/1076_mask.png
88,dataset/1077.png,dataset/1077_mask.png
89,dataset/1078.png,dataset/1078_mask.png
90,dataset/1079.png,dataset/1079_mask.png
91,dataset/108.png,dataset/108_mask.png
92,dataset/1080.png,dataset/1080_mask.png
93,dataset/1081.png,dataset/1081_mask.png
94,dataset/1082.png,dataset/1082_mask.png
95,dataset/1083.png,dataset/1083_mask.png
96,dataset/1084.png,dataset/1084_mask.png
97,dataset/1085.png,dataset/1085_mask.png
98,dataset/1086.png,dataset/1086_mask.png
99,dataset/1087.png,dataset/1087_mask.png
100,dataset/1088.png,dataset/1088_mask.png
101,dataset/1089.png,dataset/1089_mask.png
102,dataset/109.png,dataset/109_mask.png
103,dataset/1090.png,dataset/1090_mask.png
104,dataset/1091.png,dataset/1091_mask.png
105,dataset/1092.png,dataset/1092_mask.png
106,dataset/1093.png,dataset/1093_mask.png
107,dataset/1094.png,dataset/1094_mask.png
108,dataset/1095.png,dataset/1095_mask.png
109,dataset/1096.png,dataset/1096_mask.png
110,dataset/1097.png,dataset/1097_mask.png
111,dataset/1098.png,dataset/1098_mask.png
112,dataset/1099.png,dataset/1099_mask.png
113,dataset/11.png,dataset/11_mask.png
114,dataset/110.png,dataset/110_mask.png
115,dataset/1100.png,dataset/1100_mask.png
116,dataset/1101.png,dataset/1101_mask.png
117,dataset/1102.png,dataset/1102_mask.png
118,dataset/1103.png,dataset/1103_mask.png
119,dataset/1104.png,dataset/1104_mask.png
120,dataset/1105.png,dataset/1105_mask.png
121,dataset/1106.png,dataset/1106_mask.png
122,dataset/1107.png,dataset/1107_mask.png
123,dataset/1108.png,dataset/1108_mask.png
124,dataset/1109.png,dataset/1109_mask.png
125,dataset/111.png,dataset/111_mask.png
126,dataset/1110.png,dataset/1110_mask.png
127,dataset/1111.png,dataset/1111_mask.png
128,dataset/1112.png,dataset/1112_mask.png
129,dataset/1113.png,dataset/1113_mask.png
